slide_id,mean_tumor_prob,max_tumor_prob,min_tumor_prob,std_tumor_prob,tumor_tile_fraction,tumor_centroid_x,tumor_centroid_y,tumor_spread_x,tumor_spread_y,entropy_tumor_prob,skew_tumor_prob,kurtosis_tumor_prob,mean_tumor_cluster_dist,mean_neighbor_dist,slide_label
normal_001,0.0274564308639301,0.97771215,0.0004836874,0.0866545906965565,0.0098012147984538,266.59154929577466,473.6056338028169,34.21661628498716,50.90739420910949,0.0769507286931031,5.822245427513389,39.940078557060566,70.62149155391707,1.014274299061896,0
normal_002,0.0784298083126309,0.99170715,0.00049171114,0.1561506732918658,0.0391597510373444,281.9403973509933,658.2119205298013,58.22117361231869,43.728028999174256,0.161964098919847,3.218884588251097,10.934230085587542,79.71017749771669,1.0259154820906131,0
normal_003,0.0497762405074319,0.98361844,0.00039164338,0.1212464414172175,0.0208990075890251,203.963687150838,318.8212290502793,66.47031781668213,48.34577964685873,0.1165560003132355,4.088955545553126,18.902095906697117,100.06223100544028,1.0233747697338709,0
normal_004,0.0825619719277674,0.9992687,0.0005428184,0.1862419210128828,0.0542082738944365,136.3815789473684,357.7061403508772,42.46979332272935,43.52188960255279,0.1325157030974681,3.1025048357454463,9.399200945073218,59.56159086486177,1.017373890100882,0
normal_005,0.0350467247622443,0.99974114,0.0005061108,0.1091091098265254,0.0157085561497326,302.3829787234043,633.6702127659574,47.27018456251271,87.45690589837051,0.0836545859302128,5.394764167660791,32.990725972360025,109.56827602552325,1.027237975604284,0
normal_006,0.0968889002406685,0.99999845,0.00068826985,0.214350384615526,0.0767065446868402,269.27522935779814,222.84097859327215,17.70323052792244,105.58382513980276,0.1276485374511764,2.717407094472773,6.582520729047728,116.70417240557296,1.0541035072809468,0
normal_007,0.0369299321523974,0.9889631,0.0003932101,0.1153326108068445,0.019993135404153,222.6480686695279,518.1974248927039,26.92248781868451,31.63437300786254,0.0786928838718246,4.765218343466231,25.18781861103457,46.58402115254599,1.045429564058663,0
normal_008,0.0547100891449167,0.9844744,0.0006487228,0.1327452299766772,0.0247413405308142,135.0909090909091,579.2545454545455,11.438805925083944,18.682240649945587,0.1216356973364963,4.0983033210964885,18.754894928885943,26.23060779569782,1.0006361734423632,0
normal_009,0.1207478106003584,0.9999299,0.00071548193,0.2333367623109507,0.096126412816855,256.4242770167428,665.1183409436834,80.74205864774048,53.8791498063334,0.1557889539385991,2.3367405547415774,4.464341493413293,120.08271267818512,1.006503909182405,0
normal_010,0.0654378490355082,0.9993056,0.00044907397,0.165921925118483,0.042833397263777,286.0955223880597,700.8417910447761,83.13486513398885,94.57225958683298,0.111603039989332,3.5838941523419385,13.03676890202143,144.03614969631454,1.0229034852755254,0
